gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross,var20
1,10,.0923808,-.2584899,.0603124,-.0003478,-16.93063,1.324015,.0454122,.0108352,7.40e-08,.3740126,.1411051,.3536569,2,2,3,0,0,0,10
2,10,.2195195,-.1615793,.0278283,.0006488,70.68517,-10.87066,.0000507,.2137886,.0500014,.6759521,.3827005,.4491054,3,0,1,0,0,0,10
3,10,.2231983,-.0128529,.0428686,-.0004193,-27.4379,-.204927,3.22e-09,.6655241,2.80e-06,.6593832,.2133272,.9702913,3,0,3,0,0,0,10
1,20,.1085664,-.2439372,.0536348,-.0002146,-8.925553,.5910841,.0048453,.0091305,1.14e-07,.5150688,.2646101,.5893864,3,3,3,0,0,0,20
2,20,.2021364,-.1762376,.0302446,.0001492,44.31116,-7.30988,1.04e-06,.1710768,.011828,.8984361,.4033358,.4325529,3,0,2,0,0,0,20
3,20,.2428631,-.0047299,.0308863,-.0000973,-7.713182,-1.076504,3.67e-13,.8777955,.0001763,.893892,.6424027,.7787466,3,0,3,0,0,0,20
1,30,.1180529,-.2279217,.0472235,-.000171,-2.577281,.0444346,.0000305,.0068054,6.83e-09,.5158808,.5680905,.953378,3,3,3,0,0,0,30
2,30,.1964125,-.133752,.0251689,-.000285,20.60253,-2.954985,1.35e-10,.2658828,.0108498,.7367947,.5038851,.574841,3,0,2,0,0,0,30
3,30,.2200045,-.0355468,.0331186,-.0003027,1.074853,-.9002633,1.04e-16,.2795656,1.05e-06,.5714041,.9330403,.7393143,3,0,3,0,0,0,30
1,60,.0780326,-.1895924,.0431455,-.0003067,-.1532106,-.0868126,.0000642,.0000828,8.03e-16,.0246329,.909923,.8347048,3,3,3,2,0,0,60
2,60,.1901807,-.0294206,.0107,-.0000765,16.54957,-2.117946,2.74e-17,.7658425,.0853533,.8869252,.326794,.4885089,3,0,1,0,0,0,60
3,60,.2224608,-.037062,.0212325,-.0003728,3.612342,.4027017,8.33e-30,.0955667,5.48e-06,.2022804,.6124167,.791581,3,1,3,0,0,0,60
1,90,.086102,-.1338827,.0328565,-.0002006,-1.509327,-.1290411,1.62e-08,.001576,2.03e-15,.0240142,.1695441,.6431687,3,3,3,2,0,0,90
2,90,.1557326,-.0424481,.0198354,.0006878,-25.16267,-5.856571,1.02e-14,.6901972,.000419,.0804197,.1028458,.008993,3,0,3,1,0,3,90
3,90,.2013879,-.0773768,.0192964,-.0001687,9.310048,-.2540544,6.60e-36,.0022886,1.49e-06,.5016693,.1686402,.8572236,3,3,3,0,0,0,90
1,120,.0718692,-.1309457,.0302446,-.0001979,-1.672998,-.0356051,3.15e-10,.0009326,5.77e-19,.0016703,.0590944,.8618993,3,3,3,3,1,0,120
2,120,.1296802,.1446335,.0076375,.0002768,-3.225531,-3.127892,3.58e-14,.2089191,.1462467,.3060415,.8067539,.0523858,3,0,0,0,0,1,120
3,120,.17412,-.1601974,.0236616,-.0001587,11.57913,-.428211,1.34e-36,7.30e-07,2.39e-10,.5033581,.0548586,.7374649,3,3,3,0,1,0,120
1,150,.0512475,-.123646,.0298983,-.0001824,-1.492559,.0160694,9.87e-08,.0009072,1.47e-23,.0002152,.0188959,.918327,3,3,3,3,2,0,150
2,150,.1119326,.3496941,-.0039842,-.0001377,7.368948,.1191033,6.18e-13,.0046224,.4694557,.5516223,.5340552,.9345952,3,3,0,0,0,0,150
3,150,.1516442,-.1857623,.0244236,-.0000721,12.46624,-1.178752,4.02e-36,4.47e-08,2.75e-14,.728673,.0154541,.2797622,3,3,3,0,2,0,150
1,180,.0411112,-.1215236,.0289542,-.0001357,-1.811684,-.0578849,2.01e-06,.0004651,9.70e-27,.0005483,.0073185,.6072625,3,3,3,3,3,0,180
2,180,.0869606,.5702021,-.0124932,-.0002396,24.89108,.7088681,4.87e-11,.0000146,.0592285,.2780654,.0166353,.5989354,3,3,1,0,2,0,180
3,180,.1267432,-.2309514,.0273736,-.0001058,15.71656,-.907673,5.91e-28,8.15e-10,1.18e-15,.6142915,.0036469,.4192249,3,3,3,0,3,0,180
