gruppo,ttm,vol,index,c,smt,ac,cross,Svol,Si,Sc,Ssenstiment,Sac,Scross,starsvol,starsindex,starsc,starsmt,starsac,starscross
1,10,.1314521,.1077608,.0427332,-.0000123,-1.294296,-.3583031,1.00e-06,.2796406,1.75e-06,.9880291,.0010556,.000259,3,0,3,0,3,3
2,10,.185841,-.1661594,-.0190801,-.0041458,-2.133869,-.2131407,2.14e-30,.3559745,.1252161,.0471254,8.08e-12,.0294826,3,0,0,2,3,2
3,10,.1778942,.0135055,.027436,.0003983,-2.46518,-.0276332,8.05e-21,.5416227,.0001963,.715647,.0007734,.8883775,3,0,3,0,3,0
1,20,.1335866,.145359,.0234669,-.0001531,-.6441024,-.1966535,2.50e-09,.0544483,.0008572,.7934787,.0116682,.0021,3,1,3,0,2,3
2,20,.1621271,-.099132,-.0223283,-.0045709,-1.458573,-.1164412,3.39e-37,.4640251,.0188013,.0033583,1.26e-13,.031105,3,0,2,3,3,2
3,20,.1498848,.0005073,.030317,.0001636,-2.400007,-.0467086,4.39e-25,.9784641,2.58e-07,.8385838,.0000226,.7548597,3,0,3,0,3,0
1,30,.1523809,.2035299,.0089708,-.000359,-.3963556,-.1222442,1.23e-14,.0015449,.1309675,.4641981,.0378408,.012547,3,3,0,0,2,2
2,30,.1423352,-.0867459,-.0210682,-.0043572,-1.084893,-.1118074,9.79e-39,.4838282,.0108442,.0005972,1.05e-11,.0094054,3,0,2,3,3,3
3,30,.1384296,.0056682,.0276829,.0001786,-2.13812,-.1049899,1.09e-25,.7636049,1.40e-07,.7919599,3.70e-06,.4131089,3,0,3,0,3,0
1,60,.0710485,.0156681,.0303548,-.0003984,-.3084065,-.0645597,2.69e-09,.6847587,3.53e-15,.2314699,.0049756,.0418742,3,0,3,0,3,2
2,60,.092033,.1020569,-.0180388,-.0030587,-.6220062,-.1018254,1.13e-13,.3923294,.0121706,.0091441,4.48e-09,.0076749,3,0,2,3,3,3
3,60,.1079014,-.0135864,.0279386,-.0000844,-2.003742,-.0960111,3.24e-23,.431261,1.87e-10,.8721616,1.17e-07,.3362429,3,0,3,0,3,0
1,90,.017406,-.1163171,.040986,-.0003504,-.2494576,-.0376295,.0420277,.0003705,1.38e-29,.1933945,.0010384,.1087942,2,3,3,0,3,0
2,90,.0560898,.4641001,-.0237468,-.0031804,-.4363553,-.0502566,1.38e-06,.00024,.0014792,.0046256,.0000132,.1700944,3,3,3,3,3,0
3,90,.0938165,-.0567816,.0264046,-2.01e-06,-1.789204,-.0975317,1.12e-24,.0031463,5.46e-13,.9962807,1.22e-07,.2563978,3,3,3,0,3,0
1,120,-.0014442,-.1879734,.0427118,-.0003103,-.1977186,-.0336865,.8500069,1.86e-07,5.54e-36,.174614,.0019019,.0578265,0,3,3,0,3,1
2,120,.0170375,.9013584,-.0322161,-.0037848,-.158525,-.0243104,.1834147,3.70e-09,.0000997,.0003098,.1616679,.4798674,0,3,3,3,0,0
3,120,.0910318,-.1315009,.025252,.000084,-1.403814,-.0934906,6.50e-27,9.71e-08,1.56e-14,.8120108,6.37e-08,.1827933,3,3,3,0,3,0
1,150,-.0136586,-.2372145,.043274,-.0003207,-.1706117,-.0326909,.0511113,2.37e-09,0,.0743432,.0014427,.0232701,1,3,3,1,3,2
2,150,-.0132068,1.094957,-.0293453,-.003517,.0936436,-.0180766,.1750243,1.10e-12,.000684,.0001358,.2575977,.5370668,0,3,3,3,0,0
3,150,.0959467,-.1405745,.0189482,.0003772,-1.155424,-.1324892,6.73e-32,9.97e-08,5.08e-12,.2288934,4.60e-08,.0366955,3,3,3,0,3,2
1,180,-.0270542,-.2647335,.0435091,-.0004596,-.0938113,-.0154459,.000035,2.33e-10,0,.00213,.0352597,.2307378,3,3,3,3,2,0
2,180,-.0127589,1.066387,-.0260032,-.0029545,.1044769,-.0136741,.0589077,1.40e-11,.0037007,.0001834,.0614933,.5911121,1,3,3,3,1,0
3,180,.0820241,-.1586698,.0203085,.0003779,-1.05625,-.1265966,2.50e-25,1.62e-06,1.05e-13,.1986451,1.16e-07,.0319771,3,3,3,0,3,2
