gruppo,ttm,vol,c,smt,ac,cross,Svol,Sc,Ssenstiment,Sac,Scross,starsvol,starsc,starsmt,starsac,starscross
1,10,.0484833,.0064813,-.0007319,.8781994,-.1966773,.0000332,.2496175,.3339569,.0026786,.0000712,3,0,0,3,3
2,10,.3727012,-.0696717,-.0049077,-2.867557,.2454213,3.19e-14,.0000859,.1800815,2.28e-09,.0542673,3,3,0,3,1
3,10,.030441,.0230504,-.0002723,.2900057,-.2029593,.2736914,.0230604,.8760412,.1735874,.0001558,0,2,0,0,3
1,20,.0559906,.0013145,-.0004981,.5507674,-.1460094,1.37e-08,.7628514,.2687063,.0037012,8.30e-06,3,0,0,3,3
2,20,.30309,-.0766796,-.0020194,-1.725917,.1835299,6.90e-26,5.68e-11,.3493262,5.39e-11,.0170732,3,3,0,3,2
3,20,.0599412,.0075557,-.003538,.1974455,-.0993145,.0062232,.2465982,.0042446,.265851,.0102064,3,0,3,0,2
1,30,.0654419,-.0058531,-.0002728,.4025698,-.115286,1.40e-09,.2198457,.4680714,.0173576,.0000734,3,0,0,2,3
2,30,.2881843,-.0768333,-.0039636,-1.422929,.2142712,2.99e-22,9.84e-10,.0225069,2.79e-09,.0004587,3,3,2,3,3
3,30,.100506,-.0061936,-.003478,-.0294362,-.0728104,3.73e-08,.2121592,.0001581,.8298151,.0103516,3,0,3,0,2
1,60,.0679022,-.0091207,-.0005867,.2773486,-.0841844,1.79e-13,.0120678,.0895309,.0322362,.0002166,3,2,1,2,3
2,60,.2149954,-.0647357,-.0014627,-.5962693,.020317,1.38e-33,2.27e-19,.087265,2.50e-07,.5759045,3,3,1,3,0
3,60,.1560507,-.030765,-.0022915,-.2016984,-.0456971,1.07e-19,7.96e-10,.0001361,.0122174,.0048335,3,3,3,2,3
1,90,.0580618,-.0082606,-.000365,.2241708,-.0715538,1.74e-14,.0103975,.2159712,.0269718,.0001406,3,2,0,2,3
2,90,.201495,-.0674206,-.0008494,-.3230177,.0136129,0,3.60e-28,.1679673,.0000415,.5418433,3,3,0,3,0
3,90,.2011768,-.0510291,-.0019898,-.3169073,-.0181859,1.49e-31,7.92e-22,5.16e-06,5.41e-09,.080348,3,3,3,3,1
1,120,.0489289,-.0060082,-.0003044,.1682561,-.0582867,3.88e-14,.0353824,.2415159,.0480208,.0003643,3,2,0,2,3
2,120,.1983035,-.0752945,.0013287,-.1557619,-.0136334,2.37e-37,3.98e-27,.0335178,.0104104,.5417915,3,3,2,2,0
3,120,.1966967,-.0518018,-.0020352,-.312396,.0106352,2.64e-35,7.43e-26,2.22e-09,1.67e-11,.1751903,3,3,3,3,0
1,150,.0415271,-.003539,-.0003102,.1088348,-.0450092,9.40e-13,.1746821,.1939017,.1461426,.0020411,3,0,0,0,3
2,150,.1840451,-.064585,.0000463,-.4683325,.0640277,2.18e-23,3.34e-15,.9470682,8.12e-09,.0324064,3,3,0,3,2
3,150,.2018735,-.0569667,-.0016327,-.2732773,.0195429,0,1.47e-36,4.04e-08,2.99e-14,.0086159,3,3,3,3,3
1,180,.03754,-.002149,-.000282,.0403945,-.0355272,2.17e-11,.4126883,.213826,.5470755,.0080943,3,0,0,0,3
2,180,.1411209,-.0457811,-.0007709,-.428935,.0896505,9.49e-10,.0000349,.3697233,2.45e-07,.0125217,3,3,0,3,2
3,180,.1907063,-.0539055,-.0012328,-.2685352,.0115966,0,0,.0000123,1.09e-13,.0976402,3,3,3,3,1
